Sentiment,Text,Clean_Text,Predicted_Sentiment
Positive,الحمد لله اكسجين يعيد للصدر انفاسه ف تجدها الصوت السعيد الصوت المتئاكل من البكاء,الحمد لله اكسجين يعيد للصدر انفاسه ف تجدها الصوت السعيد الصوت المتئاكل من البكاء,Positive
Positive,الحمد لله الحمد لله الحمد لله حمدا شاكرا ففضلك ربي,الحمد لله الحمد لله الحمد لله حمدا شاكرا ففضلك ربي,Positive
Positive,الحمد لله الذى لا يُحمد على مكره سواه,الحمد لله الذى لا يحمد على مكره سواه,Positive
Positive,الحمد لله الذي بنعمته تتم الصالحات حمدا غير منقطع,الحمد لله الذي بنعمته تتم الصالحات حمدا غير منقطع,Positive
Positive,الحمد لله الذي رزقني بالاسلام,الحمد لله الذي رزقني بالاسلام,Positive
Positive,الحمد لله الذي نصرنا نصرا مبين,الحمد لله الذي نصرنا نصرا مبين,Positive
Positive,الحمد لله رب العالمين على عطاه رضا,الحمد لله رب العالمين على عطاه رضا,Positive
Positive,الحمد لله على نعمه الاسلام وكفى يها نعمه,الحمد لله على نعمه الاسلام وكفى يها نعمه,Positive
Positive,الحمد لله على نعمه التي لا تحصى الحمد لله الذي تكفل برزقي الحمد لله لانه رب يستحق الحمد على السراء الضراء,الحمد لله على نعمه التي لا تحصى الحمد لله الذي تكفل برزقي الحمد لله لانه رب يستحق الحمد على السراء الضراء,Positive
Positive,الحمد لله على نعمه العقل و سعه الفهم و نضوج الفكر,الحمد لله على نعمه العقل و سعه الفهم و نضوج الفكر,Positive
Positive,الحمد لله كلما ارى ناس اسلموا تعم الفرحه في قلبي,الحمد لله كلما ارى ناس اسلموا تعم الفرحه في قلبي,Positive
Positive,الحمد لله ما اكرمك يا الله,الحمد لله ما اكرمك يا الله,Positive
Positive,الحمد لله نامل من الله ان يمن علينا بالهدايه,الحمد لله نامل من الله ان يمن علينا بالهدايه,Positive
Positive,الحمدلله الذي هدانا لهذا وما كنا لنهتدي لوﻻ ان هدانا الله . ﻻ اله اﻻ الله محمد رسول الله,الحمدلله الذي هدانا لهذا وما كنا لنهتدي لوﻻ ان هدانا الله  ﻻ اله اﻻ الله محمد رسول الله,Positive
Positive,الحمدلله زادت ثقافتي لكثير من الاشياء وتنوعت المفاهيم لدي,الحمدلله زادت ثقافتي لكثير من الاشياء وتنوعت المفاهيم لدي,Positive
Positive,الحمدلله على السلامه وماتشوف شر .. طهور وقدامك العافيه ان شاء الله,الحمدلله على السلامه وماتشوف شر  طهور وقدامك العافيه ان شاء الله,Positive
Positive,الحمدلله على كل حال، الفرصه قائمه، والقادم اجمل,الحمدلله على كل حال، الفرصه قائمه، والقادم اجمل,Positive
Positive,الحمدلله من كل ضيق اسجد لله احس ان فى اعله مستوا وانسا واتذلل الى الله ليحمينى من فتن الدنيا واحسن منزلى فى الجنه,الحمدلله من كل ضيق اسجد لله احس ان فى اعله مستوا وانسا واتذلل الى الله ليحمينى من فتن الدنيا واحسن منزلى فى الجنه,Positive
Positive,الحمدلله وربنا يجعلنا من المداومين عليها والخاشعين,الحمدلله وربنا يجعلنا من المداومين عليها والخاشعين,Positive
Negative,الحياه مستمره سواء ضحكت ام بكيت,الحياه مستمره سواء ضحكت ام بكيت,Negative
Positive,الخشوع احساس جميل جد امام الله القلب يحب الدمع صافي متعه بعد الصلاه راحه فائقه اتمنى لكل المسلمين هذا الخشوع,الخشوع احساس جميل جد امام الله القلب يحب الدمع صافي متعه بعد الصلاه راحه فائقه اتمنى لكل المسلمين هذا الخشوع,Positive
Positive,الخشوع امر مهم جــدا في الصلاه,الخشوع امر مهم جدا في الصلاه,Positive
Positive,الخشوع هو المرحله التاليه للتركيز والتركيز ياتى باطاله القراءه والتدبر واطاله الركوع والسجود,الخشوع هو المرحله التاليه للتركيز والتركيز ياتى باطاله القراءه والتدبر واطاله الركوع والسجود,Positive
Positive,الدال على الخير كفاعله,الدال على الخير كفاعله,Positive
Positive,الدعوه مش بالكلام بس ممكن نكون دعاه باخلاقنا اسلوبنا تعاملنا,الدعوه مش بالكلام بس ممكن نكون دعاه باخلاقنا اسلوبنا تعاملنا,Positive
Negative,الدول المتقدمه الان تتجه لستخدام الطاقه المتجدده لانها اقل كلفه وليس لها مخاطر على البيئه والانسان ونحن الان نعاني من ضائقه ماليه كبيره وشحه مياه شديده وكلنا يعلم مدى حاجه المفاعل للمياه اذكركم فقط بما حدث في اليابان وهي الدوله الاكثر تطور في مجال التكنولوجيا وهي عباره عن جزر وكذلك كم اثر علينا المفاعل النووي الاسرائيلي وحالات السرطان المنتشره ولو لاحظنا التشوهات الخلقيه الاكثر في جنوب البلاد,الدول المتقدمه الان تتجه لستخدام الطاقه المتجدده لانها اقل كلفه وليس لها مخاطر على البيئه والانسان ونحن الان نعاني من ضائقه ماليه كبيره وشحه مياه شديده وكلنا يعلم مدى حاجه المفاعل للمياه اذكركم فقط بما حدث في اليابان وهي الدوله الاكثر تطور في مجال التكنولوجيا وهي عباره عن جزر وكذلك كم اثر علينا المفاعل النووي الاسرائيلي وحالات السرطان المنتشره ولو لاحظنا التشوهات الخلقيه الاكثر في جنوب البلاد,Negative
Positive,الدين عباره عن اخلاق وحسن التعامل مع الناس وتهذيب النفس قبل ما يكون مجموعه من العبادات !,الدين عباره عن اخلاق وحسن التعامل مع الناس وتهذيب النفس قبل ما يكون مجموعه من العبادات,Positive
Positive,الدين ليس بالمظاهر الدين المعامله حياء وادب واحترام وانتقاء للالفاض الطيبه,الدين ليس بالمظاهر الدين المعامله حياء وادب واحترام وانتقاء للالفاض الطيبه,Positive
Positive,الذي طبعه رائع ما يمكن ان يتغير راح يبقه رائع,الذي طبعه رائع ما يمكن ان يتغير راح يبقه رائع,Positive
Negative,الراجل الابس ثوب عليه جاكيت شكله مسطول من جنوب السودان,الراجل الابس ثوب عليه جاكيت شكله مسطول من جنوب السودان,Negative
